task,group,frequency
2,8,3
4,8,3
11,8,3
13,8,3
18,8,3
3,9,3
7,9,3
9,9,3
10,9,3
12,9,3
14,9,3
15,9,1
16,9,3
0,13,4
1,13,4
6,13,4
5,14,4
8,14,4
17,15,4
19,15,4
