task,group,frequency
13,7,4
0,8,3
3,8,4
5,8,3
11,8,3
14,8,3
15,8,3
16,8,3
19,8,1
6,11,4
12,11,4
1,12,4
4,12,4
10,12,4
7,13,4
9,13,4
18,13,4
17,14,4
2,15,4
8,15,4
