task,group,frequency
1,8,4
6,8,3
12,8,4
13,8,4
19,8,3
4,9,4
5,9,4
9,9,3
15,9,3
16,9,3
3,12,4
8,12,4
14,12,4
0,13,4
2,13,4
18,13,4
7,14,4
11,14,4
10,15,4
17,15,4
