taskset,deadline,max. chip size,actual chip size,#big,#little,#a72,energy_consumption,objective function value
edgedetection,27.33630952380953,91.2,72.63,1.0,-0.0,1.0,74.87450876190476,74.87450876190476
h263encodenocyc,15.163690476190478,91.2,76.43,1.0,1.0,1.0,48.622106060238096,48.622106060238096
sde,4.836309523809525,91.2,57.43,0.0,1.0,1.0,9.73965680952381,9.73965680952381
